time_from_start,panda_joint1_pos,panda_joint1_vel,panda_joint2_pos,panda_joint2_vel,panda_joint3_pos,panda_joint3_vel,panda_joint4_pos,panda_joint4_vel,panda_joint5_pos,panda_joint5_vel,panda_joint6_pos,panda_joint6_vel,panda_joint7_pos,panda_joint7_vel,eef_pos_x,eef_pos_y,eef_pos_z,eef_orient_x,eef_orient_y,eef_orient_z,eef_orient_w
1.466,0.000150819,-0.00552188,-0.786659,0.0084895,4.89854e-05,0.0145588,-2.35492,0.012418,2.66943e-05,0.0112454,1.57598,-0.00397695,0.785359,-0.00230689,0.307152,6.4965e-05,0.591728,-0.923914,0.382582,-0.00356775,0.00147036
1.501,0.000169635,-0.00429576,-0.786667,-0.00980021,3.5127e-05,-0.000985591,-2.35493,-0.0112471,1.50985e-05,0.00115692,1.57599,0.012501,0.785361,0.00146561,0.307149,6.87665e-05,0.59173,-0.923916,0.382577,-0.00356802,0.0014739
1.533,0.000150784,-0.00552406,-0.786659,0.00848966,4.92037e-05,0.0145479,-2.35492,0.0124178,2.66843e-05,0.0112429,1.57598,-0.00397699,0.785359,-0.00230668,0.307147,6.77653e-05,0.591727,-0.923917,0.382574,-0.00356838,0.00147311
1.566,0.000129225,0.00404009,-0.786657,0.000657013,3.51845e-05,-0.000918219,-2.35492,0.0095243,1.46472e-05,0.00494599,1.57597,-0.0102515,0.785359,-0.00186135,0.307149,6.88421e-05,0.59173,-0.923916,0.382577,-0.00356806,0.00147383
1.6,0.00015062,0.00384114,-0.786658,0.00134556,3.85793e-05,-0.00688675,-2.35493,0.00400836,1.03529e-05,-0.00582748,1.57598,-0.0097324,0.785361,-0.00130467,0.307148,5.53287e-05,0.591728,-0.92391,0.382591,-0.00356339,0.00147069
1.633,0.000150784,0.00385251,-0.786658,0.00134568,3.76624e-05,-0.0068635,-2.35493,0.00400911,1.03026e-05,-0.0058151,1.57598,-0.0097327,0.785361,-0.00130572,0.307149,6.28009e-05,0.591725,-0.923914,0.382581,-0.00356531,0.00146791
1.667,0.000150955,0.00411645,-0.786658,0.00133853,3.74719e-05,-0.00699836,-2.35493,0.00400351,9.42322e-06,-0.00577962,1.57598,-0.00972584,0.785361,-0.00134307,0.307149,6.2479e-05,0.591725,-0.923914,0.382582,-0.00356518,0.00146818
1.701,0.000140287,0.000702611,-0.786659,-0.0110225,4.41185e-05,-0.00353345,-2.35493,-0.0171413,1.56667e-05,-0.00419863,1.57599,0.00675357,0.785363,0.00114196,0.307149,6.23616e-05,0.591725,-0.923914,0.382582,-0.00356532,0.00146784
1.733,0.00014044,0.00074619,-0.786659,-0.011021,4.32876e-05,-0.00354065,-2.35493,-0.0171401,1.54766e-05,-0.0041666,1.57599,0.00675268,0.785363,0.00113642,0.307149,6.24094e-05,0.591724,-0.923912,0.382585,-0.0035683,0.0014699
1.766,0.000144492,0.00441315,-0.786648,0.00790909,4.7397e-05,-0.000432171,-2.35492,0.00687988,1.96553e-05,0.000289761,1.57599,-0.0031348,0.785361,-0.00103443,0.307149,6.2104e-05,0.591724,-0.923912,0.382585,-0.00356822,0.00147008
