time_from_start,panda_joint1_pos,panda_joint2_pos,panda_joint3_pos,panda_joint4_pos,panda_joint5_pos,panda_joint6_pos,panda_joint7_pos,panda_joint1_vel,panda_joint2_vel,panda_joint3_vel,panda_joint4_vel,panda_joint5_vel,panda_joint6_vel,panda_joint7_vel,ee_pos_x,ee_pos_y,ee_pos_z,ee_ori_x,ee_ori_y,ee_ori_z,ee_ori_w
1.58208,0.000129619,3.08219e-05,-0.592271,-0.463874,6.44145e-05,2.89477e-05,-1.98322,-0.113029,1.81576e-05,4.20247e-05,1.39936,-0.350846,0.785338,5.18984e-05,0.343988,7.78099e-05,0.684837,0.923919,-0.382566,0.00389048,-0.00160198
1.61122,0.000130563,3.3906e-05,-0.606467,-0.509343,6.52994e-05,3.1723e-05,-1.98722,-0.163212,1.94511e-05,4.67077e-05,1.38917,-0.346131,0.785339,5.64458e-05,0.338077,7.78099e-05,0.686965,0.923919,-0.382566,0.00389048,-0.00160198
1.63918,0.000131553,3.68568e-05,-0.62133,-0.552004,6.62244e-05,3.43543e-05,-1.99251,-0.215261,2.0822e-05,5.12521e-05,1.37959,-0.336743,0.785341,6.05944e-05,0.332045,7.78099e-05,0.688718,0.923919,-0.382566,0.00389048,-0.00160197
1.66624,0.000132589,3.98052e-05,-0.636822,-0.593688,6.71885e-05,3.69694e-05,-1.99904,-0.269235,2.22692e-05,5.58249e-05,1.37064,-0.324453,0.785343,6.45456e-05,0.325914,7.78099e-05,0.690088,0.923919,-0.382566,0.00389049,-0.00160197
1.6924,0.00013367,4.27114e-05,-0.652907,-0.633693,6.81907e-05,3.95381e-05,-2.00681,-0.324222,2.37909e-05,6.03548e-05,1.36232,-0.309471,0.785344,6.82235e-05,0.319709,7.78099e-05,0.691071,0.923919,-0.382566,0.00389049,-0.00160196
1.7179,0.000134795,4.5387e-05,-0.669542,-0.669131,6.923e-05,4.1893e-05,-2.01577,-0.378292,2.53853e-05,6.45604e-05,1.35465,-0.290839,0.785346,7.13162e-05,0.313455,7.78099e-05,0.691662,0.923919,-0.382566,0.00389049,-0.00160196
1.74289,0.000135961,4.80572e-05,-0.686685,-0.703263,7.03054e-05,4.42499e-05,-2.0259,-0.432757,2.70498e-05,6.87461e-05,1.34763,-0.270506,0.785348,7.41726e-05,0.307176,7.78099e-05,0.691859,0.923919,-0.382566,0.00389049,-0.00160195
1.76732,0.000137169,5.09369e-05,-0.704288,-0.739136,7.14162e-05,4.68137e-05,-2.03715,-0.489384,2.87816e-05,7.32072e-05,1.34127,-0.249752,0.78535,7.71065e-05,0.300897,7.78099e-05,0.691662,0.923919,-0.382566,0.00389049,-0.00160195
1.7911,0.000138416,5.37673e-05,-0.722304,-0.772898,7.25613e-05,4.93533e-05,-2.04947,-0.545657,3.05773e-05,7.75615e-05,1.33558,-0.227242,0.785352,7.97056e-05,0.294642,7.78099e-05,0.691071,0.923919,-0.382566,0.0038905,-0.00160194
1.81441,0.0001397,5.65353e-05,-0.74068,-0.804281,7.37398e-05,5.18642e-05,-2.06283,-0.601349,3.24332e-05,8.17785e-05,1.33056,-0.202933,0.785354,8.19331e-05,0.288438,7.78099e-05,0.690088,0.923919,-0.382566,0.0038905,-0.00160194
1.83719,0.000141021,5.98064e-05,-0.759362,-0.841206,7.49508e-05,5.48726e-05,-2.07717,-0.66253,3.43451e-05,8.66651e-05,1.32622,-0.178676,0.785356,8.45798e-05,0.282307,7.78099e-05,0.688718,0.923919,-0.382566,0.0038905,-0.00160194
1.85915,0.000142374,6.29844e-05,-0.778295,-0.875189,7.61932e-05,5.78393e-05,-2.09244,-0.722668,3.63081e-05,9.13471e-05,1.32256,-0.152521,0.785357,8.67775e-05,0.276274,7.78099e-05,0.686965,0.923919,-0.382566,0.0038905,-0.00160193
1.88068,0.000143759,6.57485e-05,-0.79742,-0.901708,7.74659e-05,6.04777e-05,-2.10859,-0.778117,3.83171e-05,9.53489e-05,1.31958,-0.123591,0.785359,8.80642e-05,0.270363,7.78099e-05,0.684837,0.923919,-0.382566,0.0038905,-0.00160193
1.90172,0.000145173,6.66569e-05,-0.816677,-0.901708,7.87673e-05,6.14612e-05,-2.12556,-0.810505,4.03664e-05,9.65752e-05,1.31729,-0.0912033,0.785361,8.6652e-05,0.264598,7.78099e-05,0.682342,0.923919,-0.382566,0.00389051,-0.00160192
1.92348,0.000146612,6.56564e-05,-0.836003,-0.875189,8.00961e-05,6.07363e-05,-2.14328,-0.818246,4.24499e-05,9.49544e-05,1.31569,-0.0569431,0.785363,8.26125e-05,0.259,7.78099e-05,0.67949,0.923919,-0.382566,0.00389051,-0.00160192
1.9459,0.000148073,6.44025e-05,-0.855333,-0.845308,8.14503e-05,5.98211e-05,-2.16171,-0.82073,4.45608e-05,9.28993e-05,1.31479,-0.024578,0.785365,7.82462e-05,0.253593,7.78099e-05,0.676292,0.923919,-0.382566,0.00389051,-0.00160192
1.96915,0.000149553,6.30272e-05,-0.8746,-0.813928,8.2828e-05,5.88373e-05,-2.18077,-0.819984,4.66922e-05,9.0612e-05,1.31458,0.00605557,0.785367,7.37289e-05,0.248397,7.78099e-05,0.672761,0.923919,-0.382566,0.00389051,-0.00160191
1.99309,0.000151047,6.62051e-05,-0.893735,-0.781325,8.42268e-05,5.31671e-05,-2.2004,-0.816224,4.88364e-05,9.42338e-05,1.31508,0.0348985,0.785368,6.18598e-05,0.243433,7.78099e-05,0.668911,0.923919,-0.382566,0.00389051,-0.00160191
2.0179,0.000152783,6.43793e-05,-0.912666,-0.745983,8.54148e-05,5.19635e-05,-2.22055,-0.808142,5.12892e-05,9.1327e-05,1.3163,0.06216,0.78537,5.69839e-05,0.238721,7.78099e-05,0.664756,0.923919,-0.382566,0.00389042,-0.00160213
2.0435,0.000154288,5.76585e-05,-0.931321,-0.708494,8.68491e-05,5.5197e-05,-2.24113,-0.7962,5.34335e-05,8.19682e-05,1.31823,0.0877056,0.785371,5.91801e-05,0.234279,7.78099e-05,0.660314,0.923919,-0.382566,0.00389042,-0.00160213
2.07009,0.000155791,5.54573e-05,-0.949623,-0.668854,8.82948e-05,5.35824e-05,-2.26209,-0.780511,5.55654e-05,7.84269e-05,1.32089,0.111657,0.785373,5.39786e-05,0.230124,7.78099e-05,0.655602,0.923919,-0.382566,0.00389042,-0.00160213
2.09761,0.000157287,5.3029e-05,-0.967494,-0.627497,8.97477e-05,5.17883e-05,-2.28336,-0.761382,5.76755e-05,7.45991e-05,1.32428,0.133885,0.785374,4.86877e-05,0.226274,7.78099e-05,0.650638,0.923919,-0.382566,0.00389042,-0.00160213
2.12627,0.000158769,5.01233e-05,-0.984855,-0.581709,9.12034e-05,4.95661e-05,-2.30486,-0.735386,5.97545e-05,7.01577e-05,1.32842,0.153678,0.785375,4.31218e-05,0.222743,7.78099e-05,0.645442,0.923919,-0.382566,0.00389042,-0.00160213
2.15633,0.000160229,4.67952e-05,-1.00162,-0.532501,9.26568e-05,4.69579e-05,-2.32653,-0.703263,6.17923e-05,6.52086e-05,1.33332,0.170762,0.785377,3.74078e-05,0.219545,7.78099e-05,0.640035,0.923919,-0.382566,0.00389042,-0.00160213
2.18805,0.000161657,4.30578e-05,-1.01771,-0.480358,9.41023e-05,4.39615e-05,-2.34828,-0.665048,6.37789e-05,5.97956e-05,1.33898,0.18469,0.785378,3.16351e-05,0.216693,7.78099e-05,0.634437,0.923919,-0.382566,0.00389042,-0.00160213
2.22184,0.000163045,4.06345e-05,-1.03304,-0.444231,9.55336e-05,4.23736e-05,-2.37005,-0.648406,6.57039e-05,5.63271e-05,1.34543,0.204174,0.785379,2.69664e-05,0.214198,7.78099e-05,0.628672,0.923919,-0.382566,0.00389042,-0.00160212
2.25512,0.000164383,3.78969e-05,-1.04751,-0.406392,9.6944e-05,4.0498e-05,-2.39176,-0.627526,6.75568e-05,5.25632e-05,1.35267,0.221133,0.78538,2.23317e-05,0.21207,7.78099e-05,0.622761,0.923919,-0.382566,0.00389042,-0.00160212
